Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,793,1879,SC,robot,2020-07-18 15:57:12+00:00,SC,95,MAEN,5,CRB,0,Unc,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,793,2100,SC,robot,2020-07-18 15:57:12+00:00,SC,98,MAEN,2,CRB,0,MOG,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1020,110,SC,robot,2020-07-18 15:57:12+00:00,SC,96,MAEN,4,CRB,0,Unc,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1020,331,SC,robot,2020-07-18 15:57:12+00:00,SC,98,MAEN,2,CRB,0,Unc,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1020,552,SC,robot,2020-07-18 15:57:12+00:00,SC,98,WPOT,1,MAEN,1,CRB,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1020,773,SC,robot,2020-07-18 15:57:12+00:00,SC,95,MAEN,5,CRB,0,MOG,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1020,994,SC,robot,2020-07-18 15:57:12+00:00,SC,98,MAEN,2,MOG,0,CRB,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1020,1216,SC,robot,2020-07-18 15:57:12+00:00,SC,97,MAEN,3,WPOT,0,Unc,0,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1020,1437,SC,robot,2020-07-18 15:57:12+00:00,SC,84,MAEN,15,CRB,1,MOG,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1020,1658,SC,robot,2020-07-18 15:57:12+00:00,SC,86,MAEN,14,WPOT,0,Unc,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1020,1879,SC,robot,2020-07-18 15:57:12+00:00,SC,98,MAEN,1,Unc,0,CRB,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1020,2100,SC,robot,2020-07-18 15:57:12+00:00,SC,99,MAEN,1,Unc,0,WPOT,0,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1247,110,SC,robot,2020-07-18 15:57:12+00:00,SC,99,Unc,0,MAEN,0,CRB,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1247,331,SC,robot,2020-07-18 15:57:12+00:00,SC,99,WPOT,0,Unc,0,MAEN,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1247,552,SC,robot,2020-07-18 15:57:12+00:00,SC,96,MAEN,3,MOG,1,WPOT,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1247,773,SC,robot,2020-07-18 15:57:12+00:00,SC,99,MAEN,0,Unc,0,WPOT,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1247,994,SC,robot,2020-07-18 15:57:12+00:00,SC,99,Unc,0,CRB,0,MOG,0,MAEN,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1247,1216,SC,robot,2020-07-18 15:57:12+00:00,SC,91,MAEN,7,CRB,1,MOG,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1247,1437,SC,robot,2020-07-18 15:57:12+00:00,SC,100,MOG,0,Unc,0,CRB,0,MAEN,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1247,1658,SC,robot,2020-07-18 15:57:12+00:00,SC,90,MAEN,9,Unc,0,WPOT,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1247,1879,SC,robot,2020-07-18 15:57:12+00:00,SC,91,MAEN,8,WPOT,1,Unc,0,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1247,2100,SC,robot,2020-07-18 15:57:12+00:00,SC,56,MAEN,40,WPOT,3,Unc,0,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1474,110,SC,robot,2020-07-18 15:57:12+00:00,SC,99,MOG,1,WPOT,0,MAEN,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1474,331,SC,robot,2020-07-18 15:57:12+00:00,SC,98,MOG,1,MAEN,0,WPOT,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1474,552,SC,robot,2020-07-18 15:57:12+00:00,SC,98,MAEN,2,CRB,0,Unc,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1474,773,SC,robot,2020-07-18 15:57:12+00:00,SC,98,MAEN,1,MOG,1,CRB,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1474,994,SC,robot,2020-07-18 15:57:12+00:00,SC,96,MOG,2,MAEN,2,CRB,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1474,1216,SC,robot,2020-07-18 15:57:12+00:00,SC,76,MAEN,23,MOG,0,CRB,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1474,1437,SC,robot,2020-07-18 15:57:12+00:00,SC,95,MAEN,4,MOG,0,Unc,0,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1474,1658,SC,robot,2020-07-18 15:57:12+00:00,SC,90,MAEN,10,CRB,0,MOG,0,Unc,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1474,1879,SC,robot,2020-07-18 15:57:12+00:00,SC,96,MAEN,2,Unc,1,MOG,1,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1474,2100,SC,robot,2020-07-18 15:57:12+00:00,SC,98,MAEN,1,Unc,0,MOG,0,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1701,110,SC,robot,2020-07-18 15:57:12+00:00,SC,97,WPOT,1,MAEN,1,MOG,0,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1701,331,MAEN,robot,2020-07-18 15:57:12+00:00,MAEN,58,SC,41,Unc,0,MOG,0,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1701,552,SC,robot,2020-07-18 15:57:12+00:00,SC,63,MAEN,34,WPOT,2,Unc,0,CRB,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1701,773,SC,robot,2020-07-18 15:57:12+00:00,SC,98,MAEN,1,WPOT,0,Unc,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1701,994,SC,robot,2020-07-18 15:57:12+00:00,SC,96,WPOT,2,MAEN,1,Unc,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1701,1216,SC,robot,2020-07-18 15:57:12+00:00,SC,97,WPOT,1,MAEN,1,CRB,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1701,1437,SC,robot,2020-07-18 15:57:12+00:00,SC,92,MAEN,7,CRB,0,Unc,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1701,1658,SC,robot,2020-07-18 15:57:12+00:00,SC,98,MAEN,2,CRB,0,Unc,0,MOG,0
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Robot,2018,50 x 50,,,1701,1879,SC,robot,2020-07-18 15:57:12+00:00,SC,92,MAEN,6,MOG,1,Unc,0,WPOT,0
