Name,Annotation status,Annotation area,CRB,MOG,WPOT,SC,LICHEN,SHAD,Unc,MAA,MAEN,MAG,MALCB,MAF
CO_GI_PV_HT_20181012_Q08.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,99,0,0,1,0,0,0,0,0
CO_GI_PV_HT_20181012_Q09.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q10.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_PV_LT_20181012_Q01.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,6,84,8,0,0,0,2,0,0,0
CO_GI_PV_LT_20181012_Q02.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,89,11,0,0,0,0,0,0,0
CO_GI_PV_LT_20181012_Q03.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,99,0,0,0,0,0,0,0,1
CO_GI_PV_LT_20181012_Q04.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,85,1,0,0,0,8,0,0,6
CO_GI_PV_LT_20181012_Q05.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,1,0,0,75,22,0,0,0,2,0,0,0
CO_GI_PV_LT_20181012_Q06.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,88,0,0,0,0,5,0,0,7
CO_GI_PV_LT_20181012_Q07.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,60,36,0,0,0,3,0,1,0
CO_GI_PV_LT_20181012_Q08.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,71,27,0,0,0,2,0,0,0
CO_GI_PV_LT_20181012_Q09.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,68,32,0,0,0,0,0,0,0
CO_GI_PV_LT_20181012_Q10.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,41,58,0,0,0,1,0,0,0
CO_GI_PV_MT_20181012_Q01.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,41,59,0,0,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q02.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q03.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,68,25,4,0,0,0,3,0,0,0
CO_GI_PV_MT_20181012_Q04.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,8,56,12,0,0,0,22,0,0,2
CO_GI_PV_MT_20181012_Q05.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,6,82,4,0,0,0,8,0,0,0
CO_GI_PV_MT_20181012_Q06.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q07.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,17,50,9,0,0,0,22,0,0,2
CO_GI_PV_MT_20181012_Q08.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,20,51,18,0,0,0,11,0,0,0
CO_GI_PV_MT_20181012_Q09.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,25,59,1,1,0,0,14,0,0,0
CO_GI_PV_MT_20181012_Q10.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,13,79,4,0,0,0,4,0,0,0
,,,6,34,204,6961,877,12,2,79,254,4,7,560
