"","Name","Date","habitat","country","locality","site","strata","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Annotation.status","Annotation.area","CNTR","CRB","MOB","SP","WPOT","SU","SC","MAA","MAEN","MAENRC","MAFG","MAFR","MAG","MALCB","MASB","MASG"
"27","AR_PM_PC_MT_20181105_Q07.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","MIDTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,4,86,0,0,0,8,0,2,0,0,0,0,0,0,0
"28","AR_PM_PC_MT_20181105_Q08.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","MIDTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,6,90,0,0,0,3,0,0,0,0,0,0,0,0,1
"29","AR_PM_PC_MT_20181105_Q09.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","MIDTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,1,81,0,0,0,15,0,2,0,1,0,0,0,0,0
"30","AR_PM_PC_MT_20181105_Q10.jpg","2018-11-05","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA CUEVAS","MIDTIDE",60,-42.77986,-65.00171,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,6,88,0,0,0,0,0,6,0,0,0,0,0,0,0
"31","AR_PM_PE_HT_20181025_Q01.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,9,0,0,0,0,68,0,6,0,17,0,0,0,0,0
"32","AR_PM_PE_HT_20181025_Q02.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,2,5,0,0,0,33,0,0,0,60,0,0,0,0,0
"33","AR_PM_PE_HT_20181025_Q03.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,13,0,0,0,0,79,0,0,0,8,0,0,0,0,0
"34","AR_PM_PE_HT_20181025_Q04.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,4,0,0,0,0,85,0,0,0,11,0,0,0,0,0
"35","AR_PM_PE_HT_20181025_Q05.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,5,0,0,0,0,83,0,1,0,11,0,0,0,0,0
"36","AR_PM_PE_HT_20181025_Q06.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,3,0,0,0,0,67,0,4,0,26,0,0,0,0,0
"37","AR_PM_PE_HT_20181025_Q07.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,10,0,0,0,0,77,0,8,0,5,0,0,0,0,0
"38","AR_PM_PE_HT_20181025_Q08.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,8,0,0,0,0,91,0,1,0,0,0,0,0,0,0
"39","AR_PM_PE_HT_20181025_Q09.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,1,0,0,0,0,46,0,2,0,51,0,0,0,0,0
"40","AR_PM_PE_HT_20181025_Q10.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,0,0,0,0,0,67,0,0,0,33,0,0,0,0,0
