Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,CRB,MOB,CNTR,SP,WPOT,SU,SC,MAFG,MAEN,MAENRC,MAFR,MAA,MAG,MASB,MASG,MALCB
AR_PM_PC_LT_20181105_Q03_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8684,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,62,0,0,0,4,22,0,0,12,0
AR_PM_PC_LT_20181105_Q04_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8685,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,1,18,0,58,0,0,0,2,21,0,0,0,0
AR_PM_PC_LT_20181105_Q05_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8686,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,7,0,54,0,0,0,1,6,0,0,32,0
AR_PM_PC_LT_20181105_Q06_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8687,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,5,0,62,0,0,0,6,10,0,0,17,0
AR_PM_PC_LT_20181105_Q07_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8688,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,4,0,57,0,0,0,3,16,0,0,20,0
AR_PM_PC_LT_20181105_Q08_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8689,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,63,0,0,0,6,23,0,0,8,0
AR_PM_PC_LT_20181105_Q09_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8690,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,2,0,48,0,0,0,15,18,0,0,17,0
AR_PM_PC_LT_20181105_Q10_visual,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8691,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,8,0,58,1,0,0,7,10,0,0,16,0
AR_PM_PE_HT_20181125_Q01_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8585,Visual,X: 0 - 100% / Y: 0 - 100%,11,1,0,0,0,0,84,4,0,0,0,0,0,0,0,0
AR_PM_PE_HT_20181125_Q02_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8586,Visual,X: 0 - 100% / Y: 0 - 100%,4,0,0,0,0,0,89,7,0,0,0,0,0,0,0,0
