Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,CRB,MOB,CNTR,WPOT,SC,MAF,MAEN,MAA,MAG,MAS,MALCB
AR_PM_PC_LT_20181105_Q09.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,2,48,15,0,18,0,17,0
AR_PM_PC_LT_20181105_Q10.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,LOWTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,8,58,8,0,10,0,16,0
AR_PM_PE_HT_20181025_Q02.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,11,1,0,0,84,4,0,0,0,0,0
AR_PM_PE_HT_20181025_Q03.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,4,0,0,0,89,7,0,0,0,0,0
AR_PM_PE_HT_20181025_Q01.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,2,0,0,0,92,6,0,0,0,0,0
AR_PM_PE_HT_20181025_Q04.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,3,0,0,0,93,3,1,0,0,0,0
AR_PM_PE_HT_20181025_Q05.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,4,0,0,0,85,9,2,0,0,0,0
AR_PM_PE_HT_20181025_Q06.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,9,0,0,0,86,5,0,0,0,0,0
AR_PM_PE_HT_20181025_Q07.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,3,0,0,0,93,1,3,0,0,0,0
AR_PM_PE_HT_20181025_Q08.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,1,0,0,0,63,32,4,0,0,0,0
