Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Camera,Depth,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,MAEN,MAA,MAF,MAG,MOG,WPOT,CRB,SC
CO_GI_LV_LT_20181011_Q08.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,3,0,82,0,0,0,0,15
CO_GI_LV_LT_20181011_Q09.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,2,0,52,0,0,0,0,46
CO_GI_LV_LT_20181011_Q10.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,65,0,32,0,0,0,0,3
CO_GI_LV_MT_20181010_Q01.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,13,0,0,0,1,0,3,83
CO_GI_LV_MT_20181010_Q02.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,38,0,0,0,0,0,7,55
CO_GI_LV_MT_20181010_Q03.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,65,0,14,0,0,0,0,21
CO_GI_LV_MT_20181010_Q04.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,40,0,0,0,0,0,0,60
CO_GI_LV_MT_20181010_Q05.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,27,0,0,0,0,73
CO_GI_LV_MT_20181010_Q06.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,15,0,0,0,0,0,0,85
CO_GI_LV_MT_20181010_Q07.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,5,0,0,0,0,0,0,95
