"","Name","Date","habitat","country","locality","site","strata","Height..cm.","Latitude","Longitude","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Depth"
"33","AR_PM_PE_HT_20181025_Q03_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"34","AR_PM_PE_HT_20181025_Q04_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"35","AR_PM_PE_HT_20181025_Q05_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"36","AR_PM_PE_HT_20181025_Q06_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"37","AR_PM_PE_HT_20181025_Q07_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"38","AR_PM_PE_HT_20181025_Q08_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"39","AR_PM_PE_HT_20181025_Q09_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"40","AR_PM_PE_HT_20181025_Q10_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","HIGHTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"41","AR_PM_PE_LT_20181025_Q01_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"42","AR_PM_PE_LT_20181025_Q02_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"43","AR_PM_PE_LT_20181025_Q03_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"44","AR_PM_PE_LT_20181025_Q04_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"45","AR_PM_PE_LT_20181025_Q05_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"46","AR_PM_PE_LT_20181025_Q06_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"47","AR_PM_PE_LT_20181025_Q07_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"48","AR_PM_PE_LT_20181025_Q08_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"49","AR_PM_PE_LT_20181025_Q09_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"50","AR_PM_PE_LT_20181025_Q10_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","LOWTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"51","AR_PM_PE_MT_20181025_Q01_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"52","AR_PM_PE_MT_20181025_Q02_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"53","AR_PM_PE_MT_20181025_Q03_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"54","AR_PM_PE_MT_20181025_Q04_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"55","AR_PM_PE_MT_20181025_Q05_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"56","AR_PM_PE_MT_20181025_Q06_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"57","AR_PM_PE_MT_20181025_Q07_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"58","AR_PM_PE_MT_20181025_Q08_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"59","AR_PM_PE_MT_20181025_Q09_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"60","AR_PM_PE_MT_20181025_Q10_Random.jpg",2018-10-25,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"61","AR_PM_PL_HT_20181026_Q01_Random.jpg",2018-10-26,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA LOMA","HIGHTIDE",60,-42.8120275583333,-64.8917416066667,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"62","AR_PM_PL_HT_20181026_Q02_Random.jpg",2018-10-26,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA LOMA","HIGHTIDE",60,-42.8120275583333,-64.8917416066667,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
