Name,Annotation status,Annotation area,CNTR,CRB,MOB,SP,WPOT,SU,SC,MAA,MAEN,MAENRC,MAFG,MAFR,MAG,MALCB,MASB,MASG
AR_PM_PL_HT_20181026_Q10.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,45.000,0.000,0.000,0.000,55.000,0.000,0.000,0.000,0.000,0.000
AR_PM_PL_LT_20181026_Q01.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,2.000,22.000,0.000,0.000,2.000,3.000,0.000,7.000,0.000,64.000
AR_PM_PL_LT_20181026_Q02.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,1.000,8.000,0.000,3.000,0.000,68.000
AR_PM_PL_LT_20181026_Q03.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,86.000
AR_PM_PL_LT_20181026_Q04.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,1.000,6.000,0.000,6.000,0.000,76.000
AR_PM_PL_LT_20181026_Q05.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,2.000,29.000,0.000,0.000,1.000,3.000,0.000,0.000,0.000,65.000
AR_PM_PL_LT_20181026_Q06.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,60.000
AR_PM_PL_LT_20181026_Q07.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,87.000
AR_PM_PL_LT_20181026_Q08.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,69.000
AR_PM_PL_LT_20181026_Q09.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,75.000
AR_PM_PL_LT_20181026_Q10.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,2.000,0.000,0.000,0.000,0.000,26.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,69.000
AR_PM_PL_MT_20181026_Q01.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,79.000,0.000,0.000,0.000,1.000,8.000,0.000,0.000,2.000,1.000,0.000,0.000,0.000,9.000
AR_PM_PL_MT_20181026_Q02.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,6.000,67.000,0.000,0.000,0.000,1.000,4.000,2.000,0.000,17.000,0.000,0.000,0.000,0.000,3.000
