Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation.status,Annotation.area,CNTR.A,CRB.A,MOB.A,SP.A,WPOT.A,SU.A,SC.A,MAA.A,MAEN.A,MAENRC.A,MAFG.A,MAFR.A,MAG.A,MALCB.A,MASB.A,MASG.A,CRB,MOB,CNTR,SP,WPOT,SU,SC,MAFG,MAEN,MAENRC,MAFR,MAA,MAG,MASB,MASG,MALCB
AR_PM_PC_MT_20181105_Q01.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,MIDTIDE,60,-42.78511,-64.95264,,COOLPIX AW60,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8682,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,92.00,0.00,0.00,0.00,5.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,90.00,0.00,0.00,0.00,0.00,2.00,2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_MT_20181105_Q02.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,MIDTIDE,60,-42.78511,-64.95264,,COOLPIX AW61,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8683,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,4.00,89.00,0.00,0.00,0.00,4.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,88.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_MT_20181105_Q03.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,MIDTIDE,60,-42.78511,-64.95264,,COOLPIX AW62,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8684,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,1.00,80.00,0.00,0.00,0.00,12.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.00,82.00,0.00,0.00,0.00,0.00,5.00,2.00,4.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00
AR_PM_PC_MT_20181105_Q04.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,MIDTIDE,60,-42.78511,-64.95264,,COOLPIX AW63,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8685,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,1.00,82.00,0.00,0.00,0.00,11.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.00,83.00,0.00,0.00,0.00,0.00,3.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
AR_PM_PC_MT_20181105_Q05.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,MIDTIDE,60,-42.78511,-64.95264,,COOLPIX AW64,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8686,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,80.00,0.00,0.00,0.00,12.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,2.00,84.00,0.00,0.00,0.00,0.00,5.00,2.00,3.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00
AR_PM_PC_MT_20181105_Q06.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,MIDTIDE,60,-42.78511,-64.95264,,COOLPIX AW65,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8687,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,95.00,0.00,0.00,0.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,87.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00
AR_PM_PC_MT_20181105_Q07.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,MIDTIDE,60,-42.78511,-64.95264,,COOLPIX AW66,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8688,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,92.00,0.00,0.00,0.00,5.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.00,89.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_MT_20181105_Q08.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,MIDTIDE,60,-42.78511,-64.95264,,COOLPIX AW67,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8689,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,97.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,94.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_MT_20181105_Q09.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,MIDTIDE,60,-42.78511,-64.95264,,COOLPIX AW68,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8690,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,81.00,0.00,0.00,0.00,16.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,86.00,0.00,0.00,0.00,0.00,6.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_MT_20181105_Q10.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,MIDTIDE,60,-42.78511,-64.95264,,COOLPIX AW69,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8691,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,3.00,92.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,87.00,0.00,0.00,0.00,0.00,1.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
