Name1,Name2,Annotation status,Annotation area,A,BRY,CNCA,CNTR,CR,CRB,ESS,ESU,MOB,MOCH,MOG,SP,WPOT,SU,SC,LICHEN,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAENR,MAF,MAG,MALA,MALCB,MAS
USMAMH201807_466_high_(3)_human.JPG,USMAMH201807_466_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,1,0,0,0,0,10,0,0,15,0,1,0,0,0,2,0,4,0,0,53,8,6,0,0,0,0,0,0
USMAMH201807_503_high_(3)_human.JPG,USMAMH201807_503_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,93,0,2,0,0,0,0,0,0
USMAMH201807_503_high_(4)_human.JPG,USMAMH201807_503_high_(4).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,43,0,0,1,0,1,0,0,0,2,0,2,0,0,37,0,14,0,0,0,0,0,0
USMAMH201807_518_low_(2)_human.JPG,USMAMH201807_518_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
USMAMH201807_552_low_(2)_human.JPG,USMAMH201807_552_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,19,0,0,7,0,0,0,0,0,7,0,1,0,0,66,0,0,0,0,0,0,0,0
USMAMH201807_591_low_(2)_human.JPG,USMAMH201807_591_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,95,0,0,0,0,0,0,0,0
USMAMH201807_591_low_(3)_human.JPG,USMAMH201807_591_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,1,0,0,85,1,0,0,0,0,0,0,0
USMAMH201807_592_low_(2)_human.JPG,USMAMH201807_592_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,93,0,5,0,0,0,0,0,0
USMAMH201807_592_low_(3)_human.JPG,USMAMH201807_592_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,92,0,4,0,0,0,0,0,0
USMAMH201807_592_low_(6)_human.JPG,USMAMH201807_592_low_(6).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,52,0,0,0,0,0,0,0,0,3,0,0,0,0,45,0,0,0,0,0,0,0,0
USMAMH201807_593_low_(2)_human.JPG,USMAMH201807_593_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,12,0,0,0,0,1,0,0,0,1,0,0,0,0,49,0,37,0,0,0,0,0,0
USMAMH201807_593_low_(4)_human.JPG,USMAMH201807_593_low_(4).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USMAMH201807_594_low_(3)_human.JPG,USMAMH201807_594_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,25,0,0,0,0,0,0,0,0,6,0,0,0,0,62,3,4,0,0,0,0,0,0
USMAMH201807_594_low_(6)_human.JPG,USMAMH201807_594_low_(6).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,83,0,0,0,0,0,0,0,0,9,0,0,0,0,2,6,0,0,0,0,0,0,0
USMAMH201807_595_high_(3)_human.JPG,USMAMH201807_595_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21,0,0,0,0,76,1,0,0,0,0,0,0,0
USMAMH201807_596_low_(2)_human.JPG,USMAMH201807_596_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,34,0,0,0,0,0,0,0,0,42,0,0,0,0,22,1,1,0,0,0,0,0,0
USMAMH201807_597_high_(2)_human.JPG,USMAMH201807_597_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
USMAMH201807_598_high_(2)_human.JPG,USMAMH201807_598_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,91,3,1,0,0,0,0,0,0
USMAMH201807_598_high_(3)_human.JPG,USMAMH201807_598_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,78,4,8,0,0,0,0,0,0
USMAMH201807_598_high_(4)_human.JPG,USMAMH201807_598_high_(4).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,11,0,0,7,0,2,0,0,0,14,0,0,0,0,49,1,16,0,0,0,0,0,0
