Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,SHAD,Unc,MAA,MAEC
AR_PM_PL_LT_20181026_Q06,visual,AR,PL,LT,0,0,0,0,1,0,0,0,1,0,0,60,0
AR_PM_PL_LT_20181026_Q07,visual,AR,PL,LT,0,0,0,0,1,0,0,0,0,0,0,69,0
AR_PM_PL_LT_20181026_Q08,visual,AR,PL,LT,0,0,0,0,1,0,0,1,1,0,0,59,0
AR_PM_PL_LT_20181026_Q09,visual,AR,PL,LT,0,0,0,0,1,0,0,0,1,0,0,64,0
AR_PM_PL_LT_20181026_Q10,visual,AR,PL,LT,0,0,0,0,0,0,0,1,2,0,0,64,0
CO_GI_LM_HT_20181014_Q01,visual,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_LM_HT_20181014_Q02,visual,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_LM_HT_20181014_Q03,visual,CO,LM,HT,0,0,0,0,0,2,0,0,98,0,0,0,0
CO_GI_LM_HT_20181014_Q04,visual,CO,LM,HT,0,0,0,0,0,4,0,0,96,0,0,0,0
CO_GI_LM_HT_20181014_Q05,visual,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_LM_HT_20181014_Q06,visual,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_LM_HT_20181014_Q07,visual,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_LM_HT_20181014_Q08,visual,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_LM_HT_20181014_Q09,visual,CO,LM,HT,0,0,0,0,0,2,0,0,98,0,0,0,0
CO_GI_LM_HT_20181014_Q10,visual,CO,LM,HT,0,0,0,0,0,1,0,0,99,0,0,0,0
CO_GI_LM_LT_20181014_Q01,visual,CO,LM,LT,0,0,0,0,0,4,0,0,11,0,0,0,0
CO_GI_LM_LT_20181014_Q02,visual,CO,LM,LT,0,0,0,0,0,0,0,0,84,0,0,0,0
CO_GI_LM_LT_20181014_Q03,visual,CO,LM,LT,0,0,0,0,0,0,0,0,68,0,0,1,0
CO_GI_LM_LT_20181014_Q04,visual,CO,LM,LT,0,0,0,0,0,0,0,0,88,0,0,0,0
CO_GI_LM_LT_20181014_Q05,visual,CO,LM,LT,0,0,0,0,0,2,0,0,48,0,0,0,0
CO_GI_LM_LT_20181014_Q06,visual,CO,LM,LT,0,0,0,0,0,0,0,0,66,0,0,2,0
CO_GI_LM_LT_20181014_Q07,visual,CO,LM,LT,0,0,0,0,0,0,0,0,85,0,0,0,0
CO_GI_LM_LT_20181014_Q08,visual,CO,LM,LT,0,0,0,0,0,0,0,0,95,0,0,0,0
CO_GI_LM_LT_20181014_Q09,visual,CO,LM,LT,0,0,0,0,0,0,0,0,78,0,0,11,0
CO_GI_LM_LT_20181014_Q10,visual,CO,LM,LT,0,0,0,0,0,0,0,0,35,0,0,0,0
CO_GI_LM_MT_20181014_Q01,visual,CO,LM,MT,0,0,0,0,0,0,0,0,98,0,0,0,0
CO_GI_LM_MT_20181014_Q02,visual,CO,LM,MT,0,0,0,0,0,1,0,0,99,0,0,0,0
CO_GI_LM_MT_20181014_Q03,visual,CO,LM,MT,0,0,0,0,0,0,0,0,95,0,0,0,0
CO_GI_LM_MT_20181014_Q04,visual,CO,LM,MT,0,0,0,0,0,0,0,0,97,0,0,0,0
CO_GI_LM_MT_20181014_Q05,visual,CO,LM,MT,0,0,0,0,0,0,0,0,98,0,0,0,0
CO_GI_LM_MT_20181014_Q06,visual,CO,LM,MT,0,0,0,0,0,0,0,0,99,0,0,0,0
CO_GI_LM_MT_20181014_Q07,visual,CO,LM,MT,0,0,0,0,0,0,0,0,80,0,0,0,0
CO_GI_LM_MT_20181014_Q08,visual,CO,LM,MT,0,0,0,0,0,0,0,0,75,0,0,0,0
CO_GI_LM_MT_20181014_Q09,visual,CO,LM,MT,0,0,0,0,0,0,0,0,93,0,0,0,0
CO_GI_LM_MT_20181014_Q10,visual,CO,LM,MT,0,0,0,0,0,0,0,0,41,0,0,0,0
CO_GI_LV_HT_20181010_Q01,visual,CO,LV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_LV_HT_20181010_Q02,visual,CO,LV,HT,0,0,0,0,0,0,0,0,98,0,0,0,0
CO_GI_LV_HT_20181010_Q03,visual,CO,LV,HT,0,0,0,0,0,5,0,0,95,0,0,0,0
CO_GI_LV_HT_20181010_Q04,visual,CO,LV,HT,0,0,0,0,0,2,0,0,98,0,0,0,0
CO_GI_LV_HT_20181010_Q05,visual,CO,LV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_LV_HT_20181010_Q06,visual,CO,LV,HT,0,0,0,0,0,10,0,0,90,0,0,0,0
CO_GI_LV_HT_20181010_Q07,visual,CO,LV,HT,0,0,0,0,0,1,0,0,99,0,0,0,0
CO_GI_LV_HT_20181010_Q08,visual,CO,LV,HT,0,0,0,0,0,1,0,0,98,0,0,0,0
CO_GI_LV_HT_20181010_Q09,visual,CO,LV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_LV_HT_20181010_Q10,visual,CO,LV,HT,0,0,0,0,0,3,0,0,97,0,0,0,0
CO_GI_LV_LT_20181011_Q01,visual,CO,LV,LT,0,0,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_LT_20181011_Q02,visual,CO,LV,LT,0,0,0,0,0,0,0,0,53,0,0,0,0
CO_GI_LV_LT_20181011_Q03,visual,CO,LV,LT,0,0,0,0,0,0,0,0,26,0,0,2,0
CO_GI_LV_LT_20181011_Q04,visual,CO,LV,LT,0,0,0,0,0,0,0,0,12,0,0,3,0
CO_GI_LV_LT_20181011_Q05,visual,CO,LV,LT,0,0,0,0,0,0,0,0,10,0,0,0,0
CO_GI_LV_LT_20181011_Q06,visual,CO,LV,LT,0,0,0,0,0,0,0,0,0,0,0,8,0
CO_GI_LV_LT_20181011_Q07,visual,CO,LV,LT,0,0,0,0,0,0,0,0,11,0,0,2,0
CO_GI_LV_LT_20181011_Q08,visual,CO,LV,LT,0,0,0,0,0,0,0,0,15,0,0,0,0
CO_GI_LV_LT_20181011_Q09,visual,CO,LV,LT,0,0,0,0,0,0,0,0,46,0,0,0,0
CO_GI_LV_LT_20181011_Q10,visual,CO,LV,LT,0,0,0,0,0,0,0,0,3,0,0,0,0
CO_GI_LV_MT_20181010_Q01,visual,CO,LV,MT,0,0,0,3,0,1,0,0,83,0,0,0,0
CO_GI_LV_MT_20181010_Q02,visual,CO,LV,MT,0,0,0,7,0,0,0,0,55,0,0,0,0
CO_GI_LV_MT_20181010_Q03,visual,CO,LV,MT,0,0,0,0,0,0,0,0,21,0,0,0,0
CO_GI_LV_MT_20181010_Q04,visual,CO,LV,MT,0,0,0,0,0,0,0,0,60,0,0,0,0
CO_GI_LV_MT_20181010_Q05,visual,CO,LV,MT,0,0,0,0,0,0,0,0,73,0,0,0,0
CO_GI_LV_MT_20181010_Q06,visual,CO,LV,MT,0,0,0,0,0,0,0,0,85,0,0,0,0
CO_GI_LV_MT_20181010_Q07,visual,CO,LV,MT,0,0,0,0,0,0,0,0,95,0,0,0,0
CO_GI_LV_MT_20181010_Q08,visual,CO,LV,MT,0,0,0,0,0,0,0,0,94,0,0,0,0
CO_GI_LV_MT_20181010_Q09,visual,CO,LV,MT,0,0,0,0,0,0,0,0,94,0,0,0,0
CO_GI_LV_MT_20181010_Q10,visual,CO,LV,MT,0,0,0,0,0,9,0,0,73,0,0,0,0
CO_GI_PV_HT_20181012_Q01,visual,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_PV_HT_20181012_Q02,visual,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_PV_HT_20181012_Q03,visual,CO,PV,HT,0,0,0,0,0,1,0,0,99,0,0,0,0
CO_GI_PV_HT_20181012_Q04,visual,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_PV_HT_20181012_Q05,visual,CO,PV,HT,0,0,0,0,0,1,0,0,99,0,0,0,0
CO_GI_PV_HT_20181012_Q06,visual,CO,PV,HT,0,0,0,0,0,2,0,0,98,0,0,0,0
CO_GI_PV_HT_20181012_Q07,visual,CO,PV,HT,0,0,0,0,0,2,0,0,98,0,0,0,0
CO_GI_PV_HT_20181012_Q08,visual,CO,PV,HT,0,0,0,0,0,0,0,0,98,0,0,0,0
CO_GI_PV_HT_20181012_Q09,visual,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_PV_HT_20181012_Q10,visual,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
CO_GI_PV_LT_20181012_Q01,visual,CO,PV,LT,0,0,0,0,0,0,0,0,77,0,0,0,0
CO_GI_PV_LT_20181012_Q02,visual,CO,PV,LT,0,0,0,0,0,0,0,1,64,0,0,0,0
CO_GI_PV_LT_20181012_Q03,visual,CO,PV,LT,0,0,0,0,0,0,0,0,59,0,0,0,0
CO_GI_PV_LT_20181012_Q04,visual,CO,PV,LT,0,0,0,0,0,0,0,0,72,0,0,11,0
CO_GI_PV_LT_20181012_Q05,visual,CO,PV,LT,0,0,0,1,0,0,0,1,86,0,0,4,0
CO_GI_PV_LT_20181012_Q06,visual,CO,PV,LT,0,0,0,0,0,0,0,0,79,0,0,1,0
CO_GI_PV_LT_20181012_Q07,visual,CO,PV,LT,0,0,0,0,0,0,0,0,39,0,0,0,0
