Name,source,country,site,strata,CRB,MOB,CNTR,WPOT,SC,MAF,MAEN,MAA,MAG,MAS,MALCB,MOG,CNCA
CO_GI_LV_LT_20181011_Q01,visual,CO,LV,LT,0,0,0,0,0,83,2,0,15,0,0,0,0
CO_GI_LV_LT_20181011_Q02,visual,CO,LV,LT,0,0,0,0,53,0,47,0,0,0,0,0,0
CO_GI_LV_LT_20181011_Q03,visual,CO,LV,LT,0,0,0,0,26,71,1,2,0,0,0,0,0
CO_GI_LV_LT_20181011_Q04,visual,CO,LV,LT,0,0,0,0,12,80,4,3,1,0,0,0,0
CO_GI_LV_LT_20181011_Q05,visual,CO,LV,LT,0,0,0,0,10,57,32,0,1,0,0,0,0
CO_GI_LV_LT_20181011_Q06,visual,CO,LV,LT,0,0,0,0,0,64,28,8,0,0,0,0,0
CO_GI_LV_LT_20181011_Q07,visual,CO,LV,LT,0,0,0,0,11,24,62,2,1,0,0,0,0
CO_GI_LV_LT_20181011_Q08,visual,CO,LV,LT,0,0,0,0,15,82,3,0,0,0,0,0,0
CO_GI_LV_LT_20181011_Q09,visual,CO,LV,LT,0,0,0,0,46,52,2,0,0,0,0,0,0
CO_GI_LV_LT_20181011_Q10,visual,CO,LV,LT,0,0,0,0,3,32,65,0,0,0,0,0,0
CO_GI_LV_MT_20181010_Q01,visual,CO,LV,MT,3,0,0,0,83,0,13,0,0,0,0,1,0
CO_GI_LV_MT_20181010_Q02,visual,CO,LV,MT,7,0,0,0,55,0,38,0,0,0,0,0,0
CO_GI_LV_MT_20181010_Q03,visual,CO,LV,MT,0,0,0,0,21,14,65,0,0,0,0,0,0
CO_GI_LV_MT_20181010_Q04,visual,CO,LV,MT,0,0,0,0,60,0,40,0,0,0,0,0,0
CO_GI_LV_MT_20181010_Q05,visual,CO,LV,MT,0,0,0,0,73,27,0,0,0,0,0,0,0
CO_GI_LV_MT_20181010_Q06,visual,CO,LV,MT,0,0,0,0,85,0,15,0,0,0,0,0,0
CO_GI_LV_MT_20181010_Q07,visual,CO,LV,MT,0,0,0,0,95,0,5,0,0,0,0,0,0
CO_GI_LV_MT_20181010_Q08,visual,CO,LV,MT,0,0,0,0,94,2,4,0,0,0,0,0,0
CO_GI_LV_MT_20181010_Q09,visual,CO,LV,MT,0,0,0,0,94,0,6,0,0,0,0,0,0
CO_GI_LV_MT_20181010_Q10,visual,CO,LV,MT,0,0,0,0,73,0,18,0,0,0,0,9,0
CO_GI_PV_HT_20181012_Q01,visual,CO,PV,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q02,visual,CO,PV,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q03,visual,CO,PV,HT,0,0,0,0,99,0,0,0,0,0,0,1,0
CO_GI_PV_HT_20181012_Q04,visual,CO,PV,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q05,visual,CO,PV,HT,0,0,0,0,99,0,0,0,0,0,0,1,0
CO_GI_PV_HT_20181012_Q06,visual,CO,PV,HT,0,0,0,0,98,0,0,0,0,0,0,2,0
CO_GI_PV_HT_20181012_Q07,visual,CO,PV,HT,0,0,0,0,98,0,0,0,0,0,0,2,0
CO_GI_PV_HT_20181012_Q08,visual,CO,PV,HT,0,0,0,0,98,2,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q09,visual,CO,PV,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q10,visual,CO,PV,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
CO_GI_PV_LT_20181012_Q01,visual,CO,PV,LT,0,0,0,0,77,0,23,0,0,0,0,0,0
CO_GI_PV_LT_20181012_Q02,visual,CO,PV,LT,0,0,0,1,64,0,35,0,0,0,0,0,0
CO_GI_PV_LT_20181012_Q03,visual,CO,PV,LT,0,0,0,0,59,0,41,0,0,0,0,0,0
CO_GI_PV_LT_20181012_Q04,visual,CO,PV,LT,0,0,0,0,72,0,17,11,0,0,0,0,0
CO_GI_PV_LT_20181012_Q05,visual,CO,PV,LT,1,0,0,1,86,0,8,4,0,0,0,0,0
CO_GI_PV_LT_20181012_Q06,visual,CO,PV,LT,0,0,0,0,79,0,20,1,0,0,0,0,0
CO_GI_PV_LT_20181012_Q07,visual,CO,PV,LT,0,0,0,0,39,0,61,0,0,0,0,0,0
CO_GI_PV_LT_20181012_Q08,visual,CO,PV,LT,0,0,0,0,37,0,63,0,0,0,0,0,0
CO_GI_PV_LT_20181012_Q09,visual,CO,PV,LT,0,0,0,0,21,0,79,0,0,0,0,0,0
CO_GI_PV_LT_20181012_Q10,visual,CO,PV,LT,0,0,0,0,34,0,66,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q01,visual,CO,PV,MT,0,0,0,48,50,0,2,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q02,visual,CO,PV,MT,0,0,0,2,98,0,0,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q03,visual,CO,PV,MT,0,0,0,86,14,0,0,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q04,visual,CO,PV,MT,0,0,0,6,39,21,34,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q05,visual,CO,PV,MT,0,0,0,5,82,0,13,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q06,visual,CO,PV,MT,0,0,0,0,99,0,1,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q07,visual,CO,PV,MT,0,0,0,8,76,0,16,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q08,visual,CO,PV,MT,0,0,0,25,50,0,25,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q09,visual,CO,PV,MT,0,0,0,28,65,0,7,0,0,0,0,0,0
CO_GI_PV_MT_20181012_Q10,visual,CO,PV,MT,0,0,0,16,65,0,19,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q01,visual,EC,CD,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q02,visual,EC,CD,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q03,visual,EC,CD,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q04,visual,EC,CD,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q05,visual,EC,CD,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q06,visual,EC,CD,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q07,visual,EC,CD,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q08,visual,EC,CD,HT,0,0,0,0,98,1,0,0,0,1,0,0,0
EC_SX_CD_HT_20190327_Q09,visual,EC,CD,HT,0,0,0,0,92,8,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q10,visual,EC,CD,HT,0,0,0,0,93,7,0,0,0,0,0,0,0
EC_SX_CD_LT_20190327_Q01,visual,EC,CD,LT,0,0,0,0,89,0,8,0,0,0,0,0,3
EC_SX_CD_LT_20190327_Q02,visual,EC,CD,LT,0,0,0,0,89,0,11,0,0,0,0,0,0
EC_SX_CD_LT_20190327_Q03,visual,EC,CD,LT,0,0,0,0,95,0,5,0,0,0,0,0,0
EC_SX_CD_LT_20190327_Q04,visual,EC,CD,LT,0,0,0,0,97,0,3,0,0,0,0,0,0
EC_SX_CD_LT_20190327_Q05,visual,EC,CD,LT,0,0,0,0,86,0,14,0,0,0,0,0,0
EC_SX_CD_LT_20190327_Q06,visual,EC,CD,LT,0,0,0,0,91,0,3,0,0,0,0,0,6
EC_SX_CD_LT_20190327_Q07,visual,EC,CD,LT,0,0,0,0,76,0,24,0,0,0,0,0,0
EC_SX_CD_LT_20190327_Q08,visual,EC,CD,LT,0,0,0,0,47,0,53,0,0,0,0,0,0
EC_SX_CD_LT_20190327_Q09,visual,EC,CD,LT,0,0,0,9,63,0,27,0,0,0,0,0,0
EC_SX_CD_LT_20190327_Q10,visual,EC,CD,LT,0,0,0,0,79,0,14,0,0,7,0,0,0
EC_SX_CD_MT_20190327_Q01,visual,EC,CD,MT,0,0,0,0,94,6,0,0,0,0,0,0,0
EC_SX_CD_MT_20190327_Q02,visual,EC,CD,MT,0,0,0,0,99,1,0,0,0,0,0,0,0
EC_SX_CD_MT_20190327_Q03,visual,EC,CD,MT,0,0,0,0,98,2,0,0,0,0,0,0,0
