Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
AR_PM_PE_MT_20181025_Q02,human,AR,PE,MT,0,0,0,3,87,0,0,0,1,0,0,2,0,0,7,0,0,0,0,0
AR_PM_PE_MT_20181025_Q03,human,AR,PE,MT,0,0,0,2,95,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
AR_PM_PE_MT_20181025_Q04,human,AR,PE,MT,0,0,0,3,87,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0
AR_PM_PE_MT_20181025_Q05,human,AR,PE,MT,0,0,0,5,79,0,0,0,4,0,0,0,0,0,7,5,0,0,0,0
AR_PM_PE_MT_20181025_Q06,human,AR,PE,MT,0,0,0,2,81,0,0,0,1,0,0,5,0,0,6,5,0,0,0,0
AR_PM_PE_MT_20181025_Q07,human,AR,PE,MT,0,0,0,0,93,0,0,0,1,0,0,2,0,0,3,1,0,0,0,0
AR_PM_PE_MT_20181025_Q08,human,AR,PE,MT,0,0,0,0,83,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0
AR_PM_PE_MT_20181025_Q09,human,AR,PE,MT,0,0,0,3,93,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
AR_PM_PE_MT_20181025_Q10,human,AR,PE,MT,0,0,0,0,95,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
AR_PM_PL_HT_20181026_Q01,human,AR,PL,HT,0,0,0,0,0,0,0,1,92,0,0,0,0,0,0,6,0,0,0,1
AR_PM_PL_HT_20181026_Q02,human,AR,PL,HT,0,0,0,0,0,0,0,0,88,0,0,0,0,0,2,10,0,0,0,0
AR_PM_PL_HT_20181026_Q03,human,AR,PL,HT,0,0,0,0,0,0,0,0,93,0,0,0,0,0,2,3,0,0,0,2
AR_PM_PL_HT_20181026_Q04,human,AR,PL,HT,0,0,0,0,0,0,0,1,93,0,0,0,0,0,1,4,0,0,0,1
AR_PM_PL_HT_20181026_Q05,human,AR,PL,HT,0,0,0,0,0,0,0,1,88,0,0,0,0,0,0,11,0,0,0,0
AR_PM_PL_HT_20181026_Q06,human,AR,PL,HT,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,27,0,0,0,0
AR_PM_PL_HT_20181026_Q07,human,AR,PL,HT,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,38,0,0,0,1
AR_PM_PL_HT_20181026_Q08,human,AR,PL,HT,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,76,0,0,0,3
AR_PM_PL_HT_20181026_Q09,human,AR,PL,HT,0,0,0,0,0,0,0,0,36,0,0,0,0,0,2,59,0,0,0,3
AR_PM_PL_HT_20181026_Q10,human,AR,PL,HT,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,45,0,0,0,0
AR_PM_PL_LT_20181026_Q01,human,AR,PL,LT,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,19,61
AR_PM_PL_LT_20181026_Q02,human,AR,PL,LT,0,0,0,0,0,0,0,0,0,0,0,18,0,0,8,4,0,0,0,70
AR_PM_PL_LT_20181026_Q03,human,AR,PL,LT,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,0,0,0,80
AR_PM_PL_LT_20181026_Q04,human,AR,PL,LT,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,5,0,0,11,72
AR_PM_PL_LT_20181026_Q05,human,AR,PL,LT,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0,4,0,0,0,60
AR_PM_PL_LT_20181026_Q06,human,AR,PL,LT,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,9,0,0,2,60
AR_PM_PL_LT_20181026_Q07,human,AR,PL,LT,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0,0,0,81
AR_PM_PL_LT_20181026_Q08,human,AR,PL,LT,0,0,0,0,1,0,0,0,2,0,0,24,0,0,0,9,0,0,0,64
AR_PM_PL_LT_20181026_Q09,human,AR,PL,LT,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,10,0,0,3,71
AR_PM_PL_LT_20181026_Q10,human,AR,PL,LT,0,0,0,0,3,0,0,0,4,0,0,24,0,0,1,10,1,0,3,54
AR_PM_PL_MT_20181026_Q01,human,AR,PL,MT,0,0,0,0,73,0,0,0,2,0,0,7,0,0,1,6,0,0,0,11
AR_PM_PL_MT_20181026_Q02,human,AR,PL,MT,0,0,0,0,64,0,0,0,6,0,0,2,0,0,10,15,0,0,0,3
AR_PM_PL_MT_20181026_Q03,human,AR,PL,MT,0,0,0,1,39,0,0,0,22,0,0,0,0,0,21,16,0,0,0,1
AR_PM_PL_MT_20181026_Q04,human,AR,PL,MT,0,0,0,0,50,0,0,0,13,0,0,0,0,0,30,4,0,0,0,3
