Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
AR_PM_PL_LT_20181026_Q07,robot,AR,PL,LT,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,86
AR_PM_PL_LT_20181026_Q08,robot,AR,PL,LT,0,0,0,0,0,0,0,0,0,0,24,0,0,0,10,0,0,0,66
AR_PM_PL_LT_20181026_Q09,robot,AR,PL,LT,0,0,0,0,0,0,0,0,1,0,16,0,0,0,6,0,0,0,77
AR_PM_PL_LT_20181026_Q10,robot,AR,PL,LT,0,0,0,0,2,0,0,0,2,0,26,0,0,0,8,0,0,2,60
AR_PM_PL_MT_20181026_Q01,robot,AR,PL,MT,0,0,0,1,74,0,0,0,2,0,7,0,0,0,9,0,0,0,7
AR_PM_PL_MT_20181026_Q02,robot,AR,PL,MT,0,0,0,4,64,0,0,0,1,0,4,0,0,9,16,0,0,0,2
AR_PM_PL_MT_20181026_Q03,robot,AR,PL,MT,0,0,0,1,42,0,0,0,21,0,3,0,0,15,17,0,0,0,1
AR_PM_PL_MT_20181026_Q04,robot,AR,PL,MT,0,0,0,2,52,0,0,0,9,0,0,0,0,30,6,0,0,0,1
AR_PM_PL_MT_20181026_Q05,robot,AR,PL,MT,0,0,0,1,89,0,0,0,1,0,3,0,0,0,3,0,0,0,3
AR_PM_PL_MT_20181026_Q06,robot,AR,PL,MT,0,0,0,3,83,0,0,0,6,0,0,0,0,4,2,0,0,0,2
AR_PM_PL_MT_20181026_Q07,robot,AR,PL,MT,0,0,0,3,76,0,0,0,3,0,11,0,0,2,0,0,0,0,5
AR_PM_PL_MT_20181026_Q08,robot,AR,PL,MT,0,0,0,0,94,0,0,0,1,1,2,0,0,0,2,0,0,0,0
AR_PM_PL_MT_20181026_Q09,robot,AR,PL,MT,0,0,0,2,94,0,0,0,0,0,1,0,0,2,1,0,0,0,0
AR_PM_PL_MT_20181026_Q10,robot,AR,PL,MT,0,0,0,0,89,0,0,1,4,0,3,0,0,0,2,0,0,0,1
CO_GI_LM_HT_20181014_Q01,robot,CO,LM,HT,0,0,0,0,0,0,0,0,99,0,0,0,0,0,1,0,0,0,0
CO_GI_LM_HT_20181014_Q02,robot,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q03,robot,CO,LM,HT,0,0,0,0,0,1,0,0,98,0,0,0,0,0,1,0,0,0,0
CO_GI_LM_HT_20181014_Q04,robot,CO,LM,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q05,robot,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q06,robot,CO,LM,HT,0,0,0,0,0,0,0,0,98,0,0,0,0,2,0,0,0,0,0
CO_GI_LM_HT_20181014_Q07,robot,CO,LM,HT,0,0,0,0,0,0,0,5,94,0,0,0,0,1,0,0,0,0,0
CO_GI_LM_HT_20181014_Q08,robot,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q09,robot,CO,LM,HT,0,0,0,0,0,3,0,0,96,1,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q10,robot,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_LT_20181014_Q01,robot,CO,LM,LT,0,0,0,0,0,0,0,0,55,0,0,0,0,45,0,0,0,0,0
CO_GI_LM_LT_20181014_Q02,robot,CO,LM,LT,0,0,0,0,0,0,0,0,71,1,0,0,0,20,8,0,0,0,0
CO_GI_LM_LT_20181014_Q03,robot,CO,LM,LT,0,0,0,0,0,0,0,0,85,0,0,0,0,5,10,0,0,0,0
CO_GI_LM_LT_20181014_Q04,robot,CO,LM,LT,0,0,0,0,0,0,0,0,96,0,0,1,0,3,0,0,0,0,0
CO_GI_LM_LT_20181014_Q05,robot,CO,LM,LT,0,0,0,0,0,1,0,0,59,0,0,0,0,40,0,0,0,0,0
CO_GI_LM_LT_20181014_Q06,robot,CO,LM,LT,0,0,0,1,0,0,0,0,82,0,0,0,0,17,0,0,0,0,0
CO_GI_LM_LT_20181014_Q07,robot,CO,LM,LT,0,0,0,0,0,0,0,0,91,0,0,0,0,7,2,0,0,0,0
